0,1,2,3,4,5,6,7,8,9,10,11,12
https://store.steampowered.com/app/361420/ASTRONEER/?snr=1_7_7_230_150_1&l=english,ASTRONEER,2016-12-16,System Era Softworks,"['Adventure', 'Indie']",1100 руб.,0%,9,"['Multiplayer', 'Open World Survival Craft', 'Open World', 'Space', 'Survival', 'Exploration', 'Base Building', 'Co-op', 'Sandbox', 'Adventure', 'Building', 'Crafting', 'Sci-fi', 'Automation', 'Singleplayer', 'Third Person', 'Colorful', 'Atmospheric', 'Simulation', 'Indie']",Very Positive,"117,036",Very Positive,874
https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_230_150_1&l=english,Factorio,2020-08-14,Wube Software LTD.,"['Casual', 'Indie', 'Simulation', 'Strategy']",Factorio Demo,0%,3,"['Automation', 'Base Building', 'Resource Management', 'Sandbox', 'Crafting', 'Strategy', 'Multiplayer', 'Survival', 'Management', 'Open World', 'Building', 'Co-op', '2D', 'Moddable', 'Singleplayer', 'Trains', 'Simulation', 'Pixel Graphics', 'City Builder', 'Indie']",Overwhelmingly Positive,"185,617",Overwhelmingly Positive,"1,329"
https://store.steampowered.com/app/848450/Subnautica_Below_Zero/?snr=1_7_7_230_150_1&l=english,Subnautica: Below Zero,2021-05-13,Unknown Worlds Entertainment,"['Adventure', 'Indie']",215 руб.,-75%,1,"['Open World Survival Craft', 'Survival', 'Underwater', 'Singleplayer', 'Open World', 'Horror', 'Exploration', 'Base Building', 'Multiplayer', 'Indie', 'Adventure', 'Crafting', 'First-Person', 'Survival Horror', 'Sci-fi', 'Aliens', 'Action', 'Story Rich', 'Atmospheric', 'Sandbox']",Very Positive,"94,000",Very Positive,770
https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_7_7_230_150_1&l=english,Sons Of The Forest,2024-02-22,Endnight Games Ltd,"['Action', 'Adventure', 'Indie', 'Simulation']",1100 руб.,0%,0,"['Survival', 'Open World', 'Multiplayer', 'Co-op', 'Survival Horror', 'Base Building', 'Horror', 'Crafting', 'Building', 'First-Person', 'Exploration', 'Adventure', 'Singleplayer', 'Atmospheric', 'Sandbox', 'Action-Adventure', 'Action', 'Simulation', 'Immersive Sim', 'VR']",Very Positive,"267,490",Very Positive,"4,900"
https://store.steampowered.com/app/2139460/Once_Human/?snr=1_7_7_230_150_1&l=english,Once Human,2024-07-09,Starry Studio,"['Action', 'Adventure', 'RPG', 'Simulation', 'Strategy', 'Free To Play']",Free To Play,0%,2,"['Free to Play', 'Survival', 'Multiplayer', 'Open World Survival Craft', 'Co-op', 'Open World', 'Base Building', 'Adventure', 'Post-apocalyptic', 'Massively Multiplayer', 'Horror', 'Third Person', 'Online Co-Op', 'PvP', 'Shooter', 'Singleplayer', 'RPG', 'Action-Adventure', 'Simulation', 'MMORPG']",Mostly Positive,"167,679",Very Positive,"1,932"
https://store.steampowered.com/app/3834090/YAPYAP/?snr=1_7_7_230_150_1&l=english,YAPYAP,2026-02-03,Maison Bap,['Action'],385 руб.,0%,1,"['Online Co-Op', 'Multiplayer', 'Magic', 'Comedy', 'Horror', 'Physics', 'Dark Fantasy', 'Survival Horror', 'Procedural Generation', 'First-Person', 'Dungeon Crawler', 'Action', 'Exploration', 'Funny', 'Stealth', 'Co-op', 'Stylized', 'Action Roguelike', 'Fantasy', 'PvE']",Very Positive,"5,961",Very Positive,"1,156"
https://store.steampowered.com/app/526870/Satisfactory/?snr=1_7_7_230_150_1&l=english,Satisfactory,2024-09-10,Coffee Stain Studios,"['Adventure', 'Indie', 'Simulation', 'Strategy']",1300 руб.,0%,1,"['Base Building', 'Automation', 'Open World', 'Crafting', 'Multiplayer', 'Co-op', 'Building', 'Resource Management', 'Sandbox', 'Exploration', 'Adventure', 'Open World Survival Craft', 'Survival', 'First-Person', 'Simulation', 'Strategy', 'Singleplayer', 'Sci-fi', 'Indie', 'Early Access']",Overwhelmingly Positive,"224,054",Overwhelmingly Positive,"3,421"
https://store.steampowered.com/app/594650/Hunt_Showdown_1896/?snr=1_7_7_230_150_1&l=english,Hunt: Showdown 1896,2019-08-27,Crytek,['Action'],1219 руб.,0%,73,"['Extraction Shooter', 'Multiplayer', 'FPS', 'PvP', 'Team-Based', 'Tactical', 'Open World', 'Atmospheric', 'Western', 'Perma Death', 'Horror', 'Shooter', 'Online Co-Op', 'Co-op', 'Survival Horror', 'Difficult', 'Battle Royale', 'Action', 'Gore', 'Zombies']",Mostly Positive,"206,924",Mostly Positive,"1,422"
https://store.steampowered.com/app/3643170/Roadside_Research/?snr=1_7_7_230_150_1&l=english,Roadside Research,2026-02-12,Cybernetic Walrus,"['Casual', 'Simulation', 'Early Access']",490 руб.,-25%,0,"['Early Access', 'Online Co-Op', 'Funny', 'Multiplayer', 'Simulation', 'Aliens', 'Immersive Sim', 'Management', 'Co-op', 'First-Person', 'America', 'Life Sim', 'Character Customization', 'Comedy', 'Economy', 'Sci-fi', 'Singleplayer', 'Sandbox', 'Casual', 'Physics']",Very Positive,"2,340",Very Positive,762
https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_230_150_1&l=english,Stardew Valley,2016-02-26,ConcernedApe,"['Indie', 'RPG', 'Simulation']",299 руб.,0%,1,"['Farming Sim', 'Pixel Graphics', 'Multiplayer', 'Life Sim', 'RPG', 'Relaxing', 'Simulation', 'Agriculture', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Casual', 'Open World', 'Singleplayer', '2D', 'Dating Sim', 'Cute', 'Great Soundtrack', 'Fishing']",Overwhelmingly Positive,"854,208",Overwhelmingly Positive,"11,394"
